schoolcode,zip,districtcode,districtname,schoolname,cohortstudents,graduates_count,graduates_rate,college_going_rate,completers,enrolled_in_college
124891,90043,64733,Los Angeles Unified,Alliance Renee and Meyer Luskin Academy High,115,106,92.2,,,
124933,90065,64733,Los Angeles Unified,PUC Early College Academy for Leaders and Scholars (ECALS),95,88,92.6,,,
124941,90255,64733,Los Angeles Unified,Alliance Margaret M. Bloomfield Technology Academy High,100,94,94.0,,,
125864,90071,64733,Los Angeles Unified,Ednovate - USC Hybrid High College Prep,125,121,96.8,,,
125989,90028,64733,Los Angeles Unified,STEM Academy at Bernstein High,122,121,99.2,54.5,134.0,73.0
126136,90018,64733,Los Angeles Unified,Math and Science College Preparatory,125,121,96.8,,,
126482,90044,64733,Los Angeles Unified,Augustus F. Hawkins High A Critical Design and Gaming,146,113,77.4,38.3,81.0,31.0
126490,90044,64733,Los Angeles Unified,Augustus F. Hawkins High B Community Health Advocates,104,79,76.0,41.0,100.0,41.0
126508,90044,64733,Los Angeles Unified,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,96,81,84.4,41.2,85.0,35.0
126516,90255,64733,Los Angeles Unified,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,156,151,96.8,44.0,134.0,59.0
126524,90255,64733,Los Angeles Unified,Linda Esperanza Marquez High B LIBRA Academy,164,156,95.1,45.5,134.0,61.0
126532,90255,64733,Los Angeles Unified,Linda Esperanza Marquez High C School of Social Justice,174,159,91.4,42.5,127.0,54.0
126557,90280,64733,Los Angeles Unified,Visual and Performing Arts at Legacy High School Complex,107,94,87.9,54.1,74.0,40.0
126573,90003,64733,Los Angeles Unified,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,176,135,76.7,36.8,114.0,42.0
126615,90745,64733,Los Angeles Unified,Academies of Education and Empowerment at Carson High,142,136,95.8,62.3,146.0,91.0
126623,90745,64733,Los Angeles Unified,Academy of Medical Arts at Carson High,109,105,96.3,64.0,100.0,64.0
127217,90731,64733,Los Angeles Unified,Alliance Alice M. Baxter College-Ready High,72,57,79.2,,,
127787,90710,64733,Los Angeles Unified,Humanities and Arts (HARTS) Academy of Los Angeles,102,96,94.1,47.1,104.0,49.0
127795,90017,64733,Los Angeles Unified,Contreras Learning Center-School of Social Justice,133,87,65.4,33.3,93.0,31.0
127803,90015,64733,Los Angeles Unified,Early College Academy-LA Trade Tech College,34,34,100.0,25.8,89.0,23.0
127894,91343,64733,Los Angeles Unified,Valor Academy High,113,95,84.1,,,
127910,90004,64733,Los Angeles Unified,Camino Nuevo High #2,112,101,90.2,,,
129585,90011,64733,Los Angeles Unified,NAVA College Preparatory Academy,141,118,83.7,46.2,197.0,91.0
129627,90047,64733,Los Angeles Unified,TEACH Tech Charter High,71,57,80.3,,,
130997,91342,64733,Los Angeles Unified,Sylmar Biotech Health and Engineering Magnet,55,52,94.5,,,
131821,90063,64733,Los Angeles Unified,Collegiate Charter High School of Los Angeles,44,24,54.5,,,
132027,90006,64733,Los Angeles Unified,University Preparatory Value High,100,99,99.0,,,
132084,91352,64733,Los Angeles Unified,Alliance Marine - Innovation and Technology 6-12 Complex,49,46,93.9,,,
132126,91331,64733,Los Angeles Unified,Bert Corona Charter High,64,54,84.4,,,
132282,90071,64733,Los Angeles Unified,Ednovate - East College Prep,105,97,92.4,,,
133272,91342,64733,Los Angeles Unified,PUC Triumph Charter Academy and PUC Triumph Charter High,89,84,94.4,,,
133298,91342,64733,Los Angeles Unified,PUC CALS Middle School and Early College High,58,54,93.1,,,
133868,90057,64733,Los Angeles Unified,Rise Kohyang High,81,79,97.5,,,
