schoolcode,zip,districtcode,districtname,schoolname,cohortstudents,graduates_count,graduates_rate,college_going_rate,completers,enrolled_in_college
1931740,91350,65136,William S. Hart Union High,Saugus High,584,575,98.5,77.5,560.0,434.0
1933902,91321,65136,William S. Hart Union High,William S. Hart High,542,511,94.3,78.0,528.0,412.0
1995802,91355,65136,William S. Hart Union High,Valencia High,642,617,96.1,80.2,721.0,578.0
1995802,91355,65136,William S. Hart Union High,Valencia High,642,617,96.1,78.9,588.0,464.0
1996263,91355,65136,William S. Hart Union High,Opportunities for Learning - Santa Clarita,209,59,28.2,,,
1996321,91355,65136,William S. Hart Union High,Academy of the Canyons,102,101,99.0,94.0,100.0,94.0
132969,90222,73437,Compton Unified,Compton Early College High,77,77,100.0,,,
1931567,90222,73437,Compton Unified,Centennial High,202,186,92.1,42.4,198.0,84.0
1931963,90220,73437,Compton Unified,Compton High,369,333,90.2,64.5,313.0,202.0
1932326,90221,73437,Compton Unified,Dominguez High,384,355,92.4,55.5,357.0,198.0
1996057,90220,73437,Compton Unified,Thurgood Marshall,43,19,44.2,33.3,12.0,4.0
1933316,91746,73445,Hacienda la Puente Unified,Puente Hills High,30,27,90.0,20.0,35.0,7.0
1934801,91744,73445,Hacienda la Puente Unified,La Puente High,244,241,98.8,65.2,264.0,172.0
1935246,91745,73445,Hacienda la Puente Unified,Los Altos High,377,368,97.6,72.6,442.0,321.0
1939834,91745,73445,Hacienda la Puente Unified,Glen A. Wilson High,369,358,97.0,80.4,388.0,312.0
1939925,91744,73445,Hacienda la Puente Unified,William Workman High,258,246,95.3,68.2,274.0,187.0
111070,91744,73452,Rowland Unified,Rowland Assistive Technology Academy,16,1,6.3,,,
120600,93065,73452,Rowland Unified,iQ Academy California-Los Angeles,105,72,68.6,,,
1936228,91744,73452,Rowland Unified,Nogales High,447,416,93.1,62.3,464.0,289.0
1937564,91748,73452,Rowland Unified,John A. Rowland High,486,453,93.2,79.6,538.0,428.0
1932862,91765,73460,Walnut Valley Unified,Diamond Bar High,724,703,97.1,85.3,808.0,689.0
1939149,91789,73460,Walnut Valley Unified,Walnut High,608,583,95.9,86.6,674.0,584.0
1995810,91776,75291,San Gabriel Unified,Gabrielino High,415,392,94.5,82.2,460.0,378.0
1996016,91776,75291,San Gabriel Unified,Options for Youth San Gabriel,270,81,30.0,,,
1996081,91776,75291,San Gabriel Unified,Del Mar High,29,24,82.8,34.4,32.0,11.0
127100,93535,75309,Acton-Agua Dulce Unified,Assurance Learning Academy,1024,124,12.1,,,
131383,90033,75309,Acton-Agua Dulce Unified,SIATech Academy South,89,8,9.0,,,
131987,93510,75309,Acton-Agua Dulce Unified,iLEAD Hybrid,109,91,83.5,,,
132654,92069,75309,Acton-Agua Dulce Unified,Community Collaborative Charter,88,44,50.0,,,
134619,93535,75309,Acton-Agua Dulce Unified,Empower Generations,19,11,57.9,,,
135145,91361,75309,Acton-Agua Dulce Unified,Compass Charter Schools of Los Angeles,75,28,37.3,,,
136531,93510,75309,Acton-Agua Dulce Unified,iLEAD Online,22,18,81.8,,,
136648,92337,75309,Acton-Agua Dulce Unified,Options for Youth-Acton,746,162,21.7,,,
137786,93570,75309,Acton-Agua Dulce Unified,Mission Academy,146,18,12.3,,,
1995786,93510,75309,Acton-Agua Dulce Unified,Vasquez High,84,79,94.0,55.8,95.0,53.0
1935808,90266,75333,Manhattan Beach Unified,Mira Costa High,679,660,97.2,88.2,600.0,529.0
1937143,90277,75341,Redondo Beach Unified,Redondo Union High,722,702,97.2,81.5,633.0,516.0
6120158,90025,75663,SBE - New West Charter,New West Charter,88,85,96.6,,,
1996693,91767,75697,SBE - The School of Arts and Enterprise,School of Arts and Enterprise,84,78,92.9,,,
1930122,91801,75713,Alhambra Unified,Century High,57,53,93.0,35.7,42.0,15.0
1930122,91801,75713,Alhambra Unified,Century High,57,53,93.0,76.5,362.0,277.0
1930163,91801,75713,Alhambra Unified,Alhambra High,554,532,96.0,76.6,632.0,484.0
1934553,91801,75713,Alhambra Unified,Mark Keppel High,552,526,95.3,73.8,573.0,423.0
1937697,91776,75713,Alhambra Unified,San Gabriel High,502,469,93.4,70.3,565.0,397.0
119016,90245,76869,Wiseburn Unified,Da Vinci Science,143,128,89.5,,,
119636,90250,76869,Wiseburn Unified,Da Vinci Design,137,128,93.4,,,
131128,90245,76869,Wiseburn Unified,Da Vinci Communications,71,62,87.3,,,
132928,90032,64733,Los Angeles Unified,Anahuacalmecac International University Preparatory of North America,18,18,100.0,,,
109926,90042,76968,SBE - Academia Avance Charter,Academia Avance Charter,57,49,86.0,,,
133900,90201,76992,SBE - Prepa Tec Los Angeles High,Prepa Tec Los Angeles High,73,65,89.0,,,
126037,92706,10306,Orange County Department of Education,Samueli Academy,106,103,97.2,,,
132910,92705,10306,Orange County Department of Education,College and Career Preparatory Academy,45,6,13.3,,,
133959,92868,10306,Orange County Department of Education,Unity Middle College High,24,23,95.8,,,
133983,92705,10306,Orange County Department of Education,Ednovate - Legacy College Prep.,92,86,93.5,,,
134239,92805,10306,Orange County Department of Education,EPIC Charter (Excellence Performance Innovation Citizenship),44,20,45.5,,,
134841,92805,10306,Orange County Department of Education,Orange County Workforce Innovation High,81,15,18.5,,,
138800,92692,10306,Orange County Department of Education,National University Academy Homeschool/Independent Study Orange County,12,1,8.3,,,
3030632,92626,10306,Orange County Department of Education,OCCS:CHEP/PCHS,104,89,85.6,,,
3030764,92628,10306,Orange County Department of Education,ACCESS County Community,880,255,29.0,,,
6069553,92628,10306,Orange County Department of Education,Orange County Special Education,21,11,52.4,,,
3030038,90630,66431,Anaheim Union High,Cypress High,657,641,97.6,82.2,650.0,534.0
3030228,92805,66431,Anaheim Union High,Anaheim High,750,702,93.6,65.6,627.0,411.0
3030616,90630,66431,Anaheim Union High,Oxford Academy,186,183,98.4,91.2,193.0,176.0
3033057,92806,66431,Anaheim Union High,Katella High,640,622,97.2,70.6,653.0,461.0
3033115,90623,66431,Anaheim Union High,John F. Kennedy High,564,541,95.9,52.6,441.0,232.0
3033115,90623,66431,Anaheim Union High,John F. Kennedy High,564,541,95.9,77.0,591.0,455.0
3033784,92804,66431,Anaheim Union High,Loara High,468,433,92.5,73.7,430.0,317.0
3034204,92804,66431,Anaheim Union High,Magnolia High,339,310,91.4,61.7,384.0,237.0
3036712,92801,66431,Anaheim Union High,Savanna High,413,388,93.9,70.6,401.0,283.0
3038239,92804,66431,Anaheim Union High,Western High,486,474,97.5,69.7,452.0,315.0
6066815,90620,66431,Anaheim Union High,Hope,18,0,0.0,,,
3030640,92821,66449,Brea-Olinda Unified,Brea-Olinda High,410,391,95.4,78.5,447.0,351.0
106765,92675,66464,Capistrano Unified,California Connections Academy Southern California,751,487,64.8,,,
113381,92675,66464,Capistrano Unified,San Juan Hills High,581,571,98.3,80.3,600.0,482.0
124131,92675,66464,Capistrano Unified,California Preparatory Academy,48,45,93.8,85.1,47.0,40.0
3030210,92692,66464,Capistrano Unified,Capistrano Valley High,528,505,95.6,81.5,524.0,427.0
3030574,92656,66464,Capistrano Unified,Aliso Niguel High,756,741,98.0,81.6,744.0,607.0
3030756,92688,66464,Capistrano Unified,Tesoro High,623,595,95.5,85.5,628.0,537.0
3035987,92675,66464,Capistrano Unified,Junipero Serra High,99,87,87.9,45.0,100.0,45.0
3036001,92673,66464,Capistrano Unified,San Clemente High,686,653,95.2,75.3,691.0,520.0
3038569,92629,66464,Capistrano Unified,Dana Hills High,613,586,95.6,79.7,615.0,490.0
6120356,92675,66464,Capistrano Unified,Opportunities for Learning - Capistrano,69,17,24.6,,,
3030855,90621,66514,Fullerton Joint Union High,Buena Park High,411,390,94.9,61.0,426.0,260.0
3032505,92832,66514,Fullerton Joint Union High,Fullerton Union High,488,473,96.9,72.3,488.0,353.0
3033362,90631,66514,Fullerton Joint Union High,La Habra High,530,516,97.4,65.1,547.0,356.0
3037090,90631,66514,Fullerton Joint Union High,Sonora High,404,383,94.8,74.0,485.0,359.0
3037348,92833,66514,Fullerton Joint Union High,Sunny Hills High,534,526,98.5,81.8,582.0,476.0
3037496,92831,66514,Fullerton Joint Union High,Troy High,630,611,97.0,88.1,674.0,594.0
3030103,92841,66522,Garden Grove Unified,Marie L. Hare High,96,80,83.3,20.5,83.0,17.0
3030434,92844,66522,Garden Grove Unified,Bolsa Grande High,461,443,96.1,81.4,511.0,416.0
3032752,92840,66522,Garden Grove Unified,Garden Grove High,538,514,95.5,78.9,630.0,497.0
3033578,92683,66522,Garden Grove Unified,La Quinta High,544,506,93.0,89.3,523.0,467.0
3033933,92708,66522,Garden Grove Unified,Los Amigos High,414,381,92.0,78.5,405.0,318.0
3035581,92845,66522,Garden Grove Unified,Pacifica High,374,360,96.3,83.8,414.0,347.0
3035706,92841,66522,Garden Grove Unified,Rancho Alamitos High,421,386,91.7,70.3,374.0,263.0
3036555,92843,66522,Garden Grove Unified,Santiago High,454,438,96.5,69.4,444.0,308.0
3030145,92647,66548,Huntington Beach Union High,Ocean View High,286,266,93.0,77.0,335.0,258.0
3030368,92647,66548,Huntington Beach Union High,Coast High,86,69,80.2,47.5,61.0,29.0
3031895,92646,66548,Huntington Beach Union High,Edison High,506,482,95.3,85.4,520.0,444.0
3032158,92708,66548,Huntington Beach Union High,Fountain Valley High,867,822,94.8,88.2,924.0,815.0
3032943,92648,66548,Huntington Beach Union High,Huntington Beach High,707,692,97.9,81.0,662.0,536.0
3034410,92649,66548,Huntington Beach Union High,Marina High,558,535,95.9,84.1,555.0,467.0
3038445,92683,66548,Huntington Beach Union High,Westminster High,720,668,92.8,80.2,636.0,510.0
3033206,92651,66555,Laguna Beach Unified,Laguna Beach High,256,252,98.4,82.7,260.0,215.0
111666,92626,66597,Newport-Mesa Unified,Early College High,50,49,98.0,74.1,54.0,40.0
3030186,92627,66597,Newport-Mesa Unified,Monte Vista High,51,41,80.4,43.2,37.0,16.0
3031697,92660,66597,Newport-Mesa Unified,Corona del Mar High,438,399,91.1,84.5,407.0,344.0
3031853,92626,66597,Newport-Mesa Unified,Costa Mesa High,282,264,93.6,69.6,263.0,183.0
3032000,92627,66597,Newport-Mesa Unified,Estancia High,278,246,88.5,67.2,259.0,174.0
3034907,92627,66597,Newport-Mesa Unified,Back Bay High,98,47,48.0,35.2,71.0,25.0
3035045,92663,66597,Newport-Mesa Unified,Newport Harbor High,533,487,91.4,79.4,471.0,374.0
118174,92869,66621,Orange Unified,OUSD Home Sch,27,25,92.6,,,
3030046,92807,66621,Orange Unified,Canyon High,512,478,93.4,72.9,495.0,361.0
3030046,92807,66621,Orange Unified,Canyon High,512,478,93.4,82.9,566.0,469.0
3031952,92869,66621,Orange Unified,El Modena High,497,477,96.0,70.2,513.0,360.0
3035409,92867,66621,Orange Unified,Orange High,416,392,94.2,55.6,414.0,230.0
3038098,92861,66621,Orange Unified,Villa Park High,535,513,95.9,77.5,600.0,465.0
119404,92886,66647,Placentia-Yorba Linda Unified,Yorba Linda High,442,436,98.6,85.2,466.0,397.0
3030053,92807,66647,Placentia-Yorba Linda Unified,Esperanza High,386,368,95.3,82.9,414.0,343.0
3030483,92886,66647,Placentia-Yorba Linda Unified,La Entrada High,53,49,92.5,42.9,49.0,21.0
3031929,92870,66647,Placentia-Yorba Linda Unified,El Dorado High,445,437,98.2,82.4,449.0,370.0
3038023,92870,66647,Placentia-Yorba Linda Unified,Valencia High,626,604,96.5,80.2,721.0,578.0
3038023,92870,66647,Placentia-Yorba Linda Unified,Valencia High,626,604,96.5,78.9,588.0,464.0
6119556,92870,66647,Placentia-Yorba Linda Unified,Parkview,32,29,90.6,42.3,26.0,11.0
106567,92701,66670,Santa Ana Unified,Nova Academy Early College High,106,98,92.5,,,
108365,92704,66670,Santa Ana Unified,Segerstrom High,618,613,99.2,84.3,629.0,530.0
114736,92704,66670,Santa Ana Unified,Hector G. Godinez,546,543,99.5,82.4,615.0,507.0
3030475,92707,66670,Santa Ana Unified,Cesar E. Chavez High,253,188,74.3,45.3,137.0,62.0
3030491,92705,66670,Santa Ana Unified,Century High,301,272,90.4,35.7,42.0,15.0
3030491,92705,66670,Santa Ana Unified,Century High,301,272,90.4,76.5,362.0,277.0
3030608,92706,66670,Santa Ana Unified,Middle College High,80,80,100.0,67.9,81.0,55.0
3030608,92706,66670,Santa Ana Unified,Middle College High,80,80,100.0,81.7,82.0,67.0
3030723,92701,66670,Santa Ana Unified,OCSA,417,412,98.8,,,
3034998,92704,66670,Santa Ana Unified,Lorin Griset Academy,230,147,63.9,46.0,124.0,57.0
3035821,92707,66670,Santa Ana Unified,Saddleback High,304,285,93.8,74.6,303.0,226.0
3036357,92701,66670,Santa Ana Unified,Santa Ana High,670,607,90.6,75.5,522.0,394.0
3036456,92704,66670,Santa Ana Unified,Valley High,488,435,89.1,76.8,371.0,285.0
6115133,92703,66670,Santa Ana Unified,REACH Academy,15,8,53.3,,,
3030061,92630,73635,Saddleback Valley Unified,El Toro High,578,551,95.3,77.6,588.0,456.0
3030079,92691,73635,Saddleback Valley Unified,Silverado High,110,58,52.7,33.0,88.0,29.0
3030244,92653,73635,Saddleback Valley Unified,Laguna Hills High,364,361,99.2,73.5,388.0,285.0
3030392,92691,73635,Saddleback Valley Unified,Trabuco Hills High,685,647,94.5,80.8,694.0,561.0
3034956,92691,73635,Saddleback Valley Unified,Mission Viejo High,493,467,94.7,83.0,542.0,450.0
102871,92602,73643,Tustin Unified,Arnold O. Beckman High,679,653,96.2,87.2,663.0,578.0
3030590,92780,73643,Tustin Unified,Tustin Connect,49,40,81.6,57.1,14.0,8.0
3032109,92705,73643,Tustin Unified,Foothill High,615,599,97.4,82.6,483.0,399.0
3037553,92780,73643,Tustin Unified,Tustin High,488,463,94.9,71.1,567.0,403.0
133405,92618,73650,Irvine Unified,Portola High,441,411,93.2,,,
3030129,92606,73650,Irvine Unified,Creekside High,73,54,74.0,44.9,49.0,22.0
3030152,92604,73650,Irvine Unified,Irvine High,484,464,95.9,83.1,510.0,424.0
3030285,92604,73650,Irvine Unified,Woodbridge High,593,562,94.8,86.4,594.0,513.0
3030657,92620,73650,Irvine Unified,Northwood High,515,504,97.9,85.7,603.0,517.0
3035102,92612,73650,Irvine Unified,University High,559,532,95.2,85.7,665.0,570.0
3033917,90720,73924,Los Alamitos Unified,Los Alamitos High,756,736,97.4,84.5,824.0,696.0
130765,92703,76893,SBE - Magnolia Science Academy Santa Ana,Magnolia Science Academy Santa Ana,26,25,96.2,,,
